NTHREAD, PLATFORM, DEVICE, Items_WG, Items_batch, NMC, dC, dS(mm), E(MeV), Time(sec), Global_MEM(B), Const_MEM(B), Local_MEM(B), Trace Size(B), Arena Size(B), WaterTable Size(B)
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.526817, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.811264, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.792510, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.537536, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.506416, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.539989, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.782222, -1, -1, -1, -1, -1, -1
3, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.711222, -1, -1, -1, -1, -1, -1
5, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.428115, -1, -1, -1, -1, -1, -1
100, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.622758, -1, -1, -1, -1, -1, -1
10, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.354183, -1, -1, -1, -1, -1, -1
11, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.353486, -1, -1, -1, -1, -1, -1
12, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.362850, -1, -1, -1, -1, -1, -1
13, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.356683, -1, -1, -1, -1, -1, -1
11, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.377038, -1, -1, -1, -1, -1, -1
11, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.359644, -1, -1, -1, -1, -1, -1
10, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.347043, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.775379, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.773436, -1, -1, -1, -1, -1, -1
4, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.535923, -1, -1, -1, -1, -1, -1
3, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.569294, -1, -1, -1, -1, -1, -1
3, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 0.608978, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.514326, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.564887, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.634482, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.602357, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.595403, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.636423, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 1.831974, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 6.205219, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 5.412394, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.620817, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.554271, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.525275, -1, -1, -1, -1, -1, -1
2, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 7.125959, -1, -1, -1, -1, -1, -1
4, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 5.056422, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.676451, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.728055, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.773705, -1, -1, -1, -1, -1, -1
1, -1, -1, -1, -1, 1000, 100, 0.01, 100.000000, 4.828596, -1, -1, -1, -1, -1, -1
